	litcovid	preprint	j_sim_text	j_sim_author	sum_score	date
173	pmid32532983	2020.03.29.20045039	0.93	0.583333333	1.513333333	2020-07-29
174	pmid32553059	2020.05.18.101493	0.614035088	0.8979591840000001	1.5119942709999998	2020-07-29
175	pmid32579268	2020.05.18.20106245	0.7553956829999999	0.7540983609999999	1.509494044	2020-07-29
176	pmid32218151	2020.02.10.942136	0.772277228	0.736842105	1.5091193330000001	2020-07-29
177	pmid32522207	2020.05.07.082487	0.936619718	0.57	1.506619718	2020-07-29
178	pmid32213647	2020.03.02.20026708	0.892857143	0.611940299	1.504797441	2020-07-29
179	pmid32190785	2020.02.24.20027649	0.972972973	0.53125	1.504222973	2020-07-29
180	pmid32144116	2020.02.09.20021261	0.637254902	0.865168539	1.502423441	2020-07-29
181	pmid32541745	2020.05.06.20093179	0.752066116	0.75	1.502066116	2020-07-29
182	pmid32545518	2020.05.16.099788	0.9137931029999999	0.588235294	1.5020283980000002	2020-07-29
183	pmid32589756	2020.06.04.20122507	0.790697674	0.705882353	1.4965800269999998	2020-07-29
184	pmid32343747	2020.03.02.20030288	0.864197531	0.62962963	1.49382716	2020-07-29
185	pmid32545925	2020.06.03.20112540	0.961538462	0.53125	1.4927884619999998	2020-07-29
186	pmid32441303	2020.05.08.20093229	0.817391304	0.674418605	1.491809909	2020-07-29
187	pmid32568027	2020.04.20.049924	1.0	0.4875	1.4875	2020-07-29
188	pmid32176808	2020.02.13.20022806	0.829457364	0.6571428570000001	1.486600221	2020-07-29
189	pmid32615934	2020.05.02.20080390	0.940677966	0.545454545	1.486132512	2020-07-29
190	pmid32368629	2020.04.24.20073296	0.9285714290000001	0.5555555560000001	1.484126984	2020-07-29
191	pmid32388468	2020.04.10.20061176	0.9361702129999999	0.5476190479999999	1.48378926	2020-07-29
192	pmid32416374	2020.04.12.20062828	0.744827586	0.736842105	1.481669691	2020-07-29
193	pmid32102279	2020.02.14.20022897	0.9651162790000001	0.516129032	1.481245311	2020-07-29
194	pmid32473312	2020.04.03.20051649	0.9739130429999999	0.506493506	1.48040655	2020-07-29
195	pmid32524946	2020.04.25.20079517	0.74137931	0.7377049179999999	1.479084228	2020-07-29
196	pmid32325386	2020.04.02.20051128	0.788461538	0.689655172	1.478116711	2020-07-29
197	pmid32430428	2020.03.22.20040832	0.7209302329999999	0.7560975609999999	1.477027794	2020-07-29
198	pmid32304108	2020.03.02.968388	0.863013699	0.613636364	1.4766500619999998	2020-07-29
199	pmid32654247	2020.05.17.100685	0.9327731090000001	0.542857143	1.475630252	2020-07-29
200	pmid32361028	2020.04.05.026187	0.9586776859999999	0.516129032	1.4748067180000002	2020-07-29
201	pmid32555388	2020.05.13.092619	0.849557522	0.622754491	1.472312013	2020-07-29
202	pmid32609763	2020.04.01.20049957	0.771428571	0.7	1.471428571	2020-07-29
203	pmid32485871	2020.03.30.20048264	0.95959596	0.5106382979999999	1.470234257	2020-07-29
204	pmid32589145	2020.03.25.20043380	0.540697674	0.9285714290000001	1.469269103	2020-07-29
205	pmid32471884	2020.04.20.20072116	0.6378378379999999	0.8310810809999999	1.468918919	2020-07-29
206	pmid32377030	2020.04.15.20066811	1.0	0.46875	1.46875	2020-07-29
207	pmid32559081	2020.05.20.103325	0.87012987	0.5972222220000001	1.4673520919999998	2020-07-29
208	pmid32576696	2020.05.13.20100289	0.926829268	0.5365853660000001	1.463414634	2020-07-29
209	pmid32566556	2020.04.13.20064402	0.90647482	0.556818182	1.463293002	2020-07-29
210	pmid32536760	2020.04.15.20066308	0.935064935	0.5277777779999999	1.4628427130000001	2020-07-29
211	pmid32426062	2020.05.03.20089649	0.731707317	0.7307692309999999	1.4624765480000002	2020-07-29
212	pmid32422233	2020.05.05.20091983	0.701986755	0.759259259	1.461246014	2020-07-29
213	pmid32510598	2020.03.31.20047621	0.8196721309999999	0.640625	1.460297131	2020-07-29
214	pmid32229732	2020.02.19.20025288	0.676300578	0.783783784	1.460084362	2020-07-29
215	pmid32409561	2020.04.10.20060558	0.55026455	0.907563025	1.457827575	2020-07-29
216	pmid32558639	2020.04.11.037382	0.617021277	0.84	1.457021277	2020-07-29
217	pmid32605182	2020.06.14.151381	0.9014084509999999	0.5555555560000001	1.456964006	2020-07-29
218	pmid32384159	2020.02.12.20022426	0.972972973	0.483333333	1.4563063059999999	2020-07-29
219	pmid32525844	2020.05.12.20099879	0.867256637	0.588652482	1.455909119	2020-07-29
220	pmid32539253	2020.06.05.20121566	0.924242424	0.53125	1.455492424	2020-07-29
221	pmid32591408	2020.04.11.20062349	0.664	0.7887323940000001	1.452732394	2020-07-29
222	pmid32302370	2020.02.26.20028308	0.868686869	0.583333333	1.452020202	2020-07-29
223	pmid32065055	2020.01.28.923011	0.848484848	0.6034482760000001	1.451933124	2020-07-29
224	pmid32482785	2020.04.26.20080994	0.76744186	0.684210526	1.451652387	2020-07-29
225	pmid32378705	2020.04.07.029132	0.9024390240000001	0.5490196079999999	1.4514586319999998	2020-07-29
226	pmid32599282	2020.05.27.120410	0.7571428570000001	0.6938775509999999	1.4510204080000002	2020-07-29
227	pmid32645951	2020.05.15.098947	0.8245614040000001	0.625	1.449561404	2020-07-29
228	pmid32277040	2020.03.16.993386	0.539215686	0.907407407	1.446623094	2020-07-29
229	pmid32503874	2020.04.09.20059196	0.5	0.9459459459999999	1.445945946	2020-07-29
230	pmid32562541	2020.05.13.20101006	0.75	0.695652174	1.4456521740000001	2020-07-29
231	pmid32437017	2020.04.23.20077644	0.716666667	0.7288135590000001	1.445480226	2020-07-29
232	pmid32591733	2020.05.14.20102301	0.871287129	0.571428571	1.4427157	2020-07-29
233	pmid32509472	2020.04.09.034462	0.7008547009999999	0.740740741	1.441595442	2020-07-29
234	pmid32292868	2020.03.14.20036202	0.8857142859999999	0.5555555560000001	1.441269841	2020-07-29
235	pmid32453411	2020.03.09.20032045	0.627906977	0.8125	1.4404069769999999	2020-07-29
236	pmid32283141	2020.03.13.20035428	0.8039215690000001	0.636363636	1.440285205	2020-07-29
237	pmid32430459	2020.03.04.20031237	0.7419354840000001	0.695652174	1.4375876580000002	2020-07-29
238	pmid32426212	2020.03.15.993097	0.817073171	0.62037037	1.437443541	2020-07-29
239	pmid32646885	2020.05.12.20094508	0.834586466	0.602564103	1.4371505690000002	2020-07-29
240	pmid32641684	2020.04.16.044503	0.75	0.68627451	1.43627451	2020-07-29
241	pmid32221519	2020.03.02.20030189	0.679738562	0.7560975609999999	1.435836123	2020-07-29
242	pmid32545441	2020.04.17.20068916	0.9157894740000001	0.52	1.4357894740000001	2020-07-29
243	pmid32634826	2020.05.24.20110346	0.706293706	0.729166667	1.4354603730000002	2020-07-29
244	pmid32587094	2020.05.15.098616	0.574585635	0.8589743590000001	1.4335599940000001	2020-07-29
245	pmid32396922	2020.03.21.001628	0.847619048	0.585714286	1.4333333330000002	2020-07-29
246	pmid32541865	2020.04.20.051581	0.9	0.532258065	1.432258065	2020-07-29
247	pmid32609640	2020.04.16.20067231	0.715384615	0.716814159	1.432198775	2020-07-29
248	pmid32650788	2020.04.02.021725	0.931506849	0.5	1.431506849	2020-07-29
249	pmid32592724	2020.04.07.029934	0.810810811	0.620689655	1.431500466	2020-07-29
250	pmid32568721	2020.04.10.20061259	0.8467741940000001	0.583333333	1.4301075269999999	2020-07-29
251	pmid32431949	2020.02.15.950568	0.75	0.677419355	1.427419355	2020-07-29
252	pmid32522874	2020.04.05.026450	0.904761905	0.520833333	1.425595238	2020-07-29
